GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - Speak only English,Margin of Error; Less than high school graduate: - In labor force: - Speak only English,Estimate; Less than high school graduate: - In labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - In labor force: - Speak Spanish,Estimate; Less than high school graduate: - In labor force: - Speak other Indo-European languages,Margin of Error; Less than high school graduate: - In labor force: - Speak other Indo-European languages,Estimate; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Less than high school graduate: - In labor force: - Speak other languages,Margin of Error; Less than high school graduate: - In labor force: - Speak other languages,Estimate; Less than high school graduate: - Not in labor force:,Margin of Error; Less than high school graduate: - Not in labor force:,Estimate; Less than high school graduate: - Not in labor force: - Speak only English,Margin of Error; Less than high school graduate: - Not in labor force: - Speak only English,Estimate; Less than high school graduate: - Not in labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Spanish,Estimate; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages,Estimate; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Less than high school graduate: - Not in labor force: - Speak other languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other languages,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other languages,Estimate; High school graduate (includes equivalency): - Not in labor force:,Margin of Error; High school graduate (includes equivalency): - Not in labor force:,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other languages,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - Speak only English,Margin of Error; Some college or associate's degree: - In labor force: - Speak only English,Estimate; Some college or associate's degree: - In labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - In labor force: - Speak Spanish,Estimate; Some college or associate's degree: - In labor force: - Speak other Indo-European languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak other Indo-European languages,Estimate; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Some college or associate's degree: - In labor force: - Speak other languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak other languages,Estimate; Some college or associate's degree: - Not in labor force:,Margin of Error; Some college or associate's degree: - Not in labor force:,Estimate; Some college or associate's degree: - Not in labor force: - Speak only English,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak only English,Estimate; Some college or associate's degree: - Not in labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Spanish,Estimate; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages,Estimate; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Some college or associate's degree: - Not in labor force: - Speak other languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other languages,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak only English,Estimate; Bachelor's degree or higher: - In labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages,Estimate; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Bachelor's degree or higher: - In labor force: - Speak other languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other languages,Estimate; Bachelor's degree or higher: - Not in labor force:,Margin of Error; Bachelor's degree or higher: - Not in labor force:,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak only English,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other languages
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",12792,397,811,178,419,131,217,79,28,25,136,118,18,28,20,31,392,126,307,111,18,27,43,36,4,10,20,48,3706,538,2110,350,1819,329,101,88,152,74,20,29,18,44,1596,538,1429,475,59,94,108,69,0,123,0,123,2981,332,2224,277,1997,264,52,42,122,61,31,41,22,25,757,176,678,171,10,15,25,26,33,40,11,16,5294,412,4102,414,3539,401,47,31,352,148,164,99,0,123,1192,284,1047,285,56,58,71,52,18,29,0,123
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",88007,1162,23350,1147,11621,691,3575,466,5439,539,2234,390,294,104,79,50,11729,781,4379,436,5245,510,1602,309,380,216,123,81,30129,1151,20717,1099,11051,858,6022,621,3215,581,295,181,134,89,9412,770,5674,584,2488,402,987,244,157,106,106,71,20592,1064,16457,890,9480,691,4294,442,2155,395,289,121,239,134,4135,468,2653,363,890,221,382,137,120,71,90,82,13936,916,11157,734,7526,615,1616,315,1398,269,450,138,167,92,2779,412,1716,325,261,144,512,165,221,132,69,69
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",10846,214,379,118,146,69,98,68,0,123,48,39,0,123,0,123,233,93,150,80,27,31,39,49,17,29,0,123,2146,265,1258,225,1105,209,47,47,106,62,0,123,0,123,888,181,860,175,0,123,28,33,0,123,0,123,2374,257,1774,258,1685,268,71,77,18,22,0,123,0,123,600,141,577,142,0,123,23,26,0,123,0,123,5947,334,4636,276,3971,297,81,56,379,156,182,104,23,28,1311,189,1132,189,30,32,118,77,31,34,0,123
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",54374,675,9545,783,5581,573,1216,278,2825,519,1123,278,342,133,75,80,3964,477,1765,350,1215,344,751,212,192,108,41,39,16793,892,11470,770,6136,588,2688,509,2524,436,106,72,16,25,5323,466,3687,373,697,242,820,222,70,66,49,35,11338,753,8546,641,6071,556,1365,294,949,225,146,94,15,25,2792,343,2186,319,281,120,231,98,80,72,14,23,16698,847,13160,716,10042,678,713,211,1510,366,766,224,129,93,3538,383,2398,304,419,189,396,140,260,153,65,63
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",12298,207,328,122,122,62,51,45,13,21,43,50,15,23,0,123,206,101,181,100,0,123,25,26,0,123,0,123,1082,236,481,155,455,155,9,15,17,19,0,123,0,123,601,141,502,115,40,62,47,44,12,17,0,123,1624,225,835,177,704,160,31,36,76,57,18,25,6,10,789,146,694,148,19,22,76,44,0,123,0,123,9264,365,6174,309,5524,313,181,81,310,105,150,69,9,15,3090,237,2839,247,86,48,122,51,43,33,0,123
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",4772,126,241,117,108,62,53,45,0,123,46,41,9,14,0,123,133,79,90,67,0,123,32,48,11,18,0,123,565,144,308,113,304,113,0,123,4,7,0,123,0,123,257,94,248,95,0,123,9,14,0,123,0,123,825,153,552,132,513,127,0,123,39,35,0,123,0,123,273,94,264,95,0,123,9,14,0,123,0,123,3141,253,2345,210,2097,210,56,53,148,60,13,22,31,36,796,142,693,148,8,14,61,51,0,123,34,49
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",36049,751,1999,294,617,176,361,123,88,64,133,115,8,13,27,24,1382,225,849,173,32,31,318,111,48,50,135,66,5679,420,2834,340,2386,348,96,63,209,77,111,103,32,48,2845,248,2518,215,17,19,237,76,15,18,58,49,6985,503,4644,450,4161,469,144,73,233,89,55,49,51,48,2341,308,2101,294,40,39,139,56,39,37,22,24,21386,576,16225,486,14175,491,483,155,1030,216,383,137,154,83,5161,369,4650,367,126,68,247,83,127,82,11,17
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",41594,476,2185,316,809,237,223,119,395,170,149,104,42,51,0,123,1376,202,836,164,146,91,292,122,79,70,23,36,6373,614,3607,491,2675,434,428,172,441,183,25,23,38,47,2766,324,2439,307,86,54,210,88,31,34,0,123,6166,533,3794,441,2955,357,439,148,237,110,91,57,72,116,2372,329,1709,250,142,81,328,118,193,112,0,123,26870,717,18556,689,14003,702,1027,276,2389,371,1077,272,60,45,8314,464,6575,506,276,101,1018,219,408,118,37,37
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",13131,261,700,177,274,133,138,105,35,36,101,73,0,123,0,123,426,123,299,106,0,123,110,70,17,28,0,123,3301,344,2067,316,1657,289,120,81,147,82,96,117,47,46,1234,202,1078,160,31,34,125,76,0,123,0,123,3050,348,2217,294,2105,295,54,52,46,55,0,123,12,19,833,164,778,160,0,123,55,48,0,123,0,123,6080,486,4870,395,4397,380,125,79,259,113,76,60,13,22,1210,263,1037,189,19,29,154,173,0,123,0,123
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",12549,271,419,154,159,109,80,57,32,49,47,51,0,123,0,123,260,113,164,93,0,123,82,66,14,21,0,123,928,283,502,253,372,233,15,22,115,93,0,123,0,123,426,133,426,133,0,123,0,123,0,123,0,123,1652,228,839,171,703,159,24,28,105,62,7,11,0,123,813,166,746,163,0,123,60,43,0,123,7,12,9550,379,6342,394,5599,389,180,155,422,150,117,97,24,28,3208,276,2882,258,77,49,170,72,51,52,28,36
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",9114,222,468,124,124,52,114,50,0,123,10,17,0,123,0,123,344,106,259,95,0,123,85,64,0,123,0,123,2296,300,1473,259,1252,225,146,115,75,50,0,123,0,123,823,192,770,185,0,123,47,63,6,11,0,123,2590,268,1964,231,1788,219,110,68,56,40,10,16,0,123,626,140,590,133,13,19,10,17,0,123,13,21,3760,326,2932,277,2611,271,46,36,230,96,11,17,34,41,828,179,788,176,0,123,40,28,0,123,0,123
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",17701,341,1083,208,281,90,174,71,38,51,60,40,9,14,0,123,802,187,504,161,89,35,185,101,13,20,11,14,3798,396,2077,323,1943,304,21,25,102,67,11,14,0,123,1721,255,1507,225,99,63,108,60,0,123,7,12,3915,332,2608,263,2457,271,50,38,80,52,10,16,11,18,1307,208,1235,200,36,42,23,20,0,123,13,21,8905,473,6774,390,6143,377,103,54,416,169,87,54,25,29,2131,250,1913,235,87,61,114,69,17,24,0,123
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",61202,832,7543,784,3603,614,1151,266,2040,495,348,149,64,59,0,123,3940,458,2209,349,757,224,891,242,41,47,42,28,15607,856,10329,737,6635,625,2476,418,1092,269,91,64,35,34,5278,557,3979,493,665,194,585,156,14,22,35,32,14151,924,10885,802,7719,659,1781,346,1165,317,183,89,37,34,3266,362,2359,321,542,190,309,101,45,43,11,18,23901,869,19594,844,15296,877,1555,315,2030,309,592,204,121,90,4307,463,3472,413,285,113,380,149,125,71,45,35
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",6146,147,130,65,60,54,52,52,0,123,8,12,0,123,0,123,70,41,52,38,0,123,11,17,7,11,0,123,957,181,614,147,508,147,0,123,91,76,15,23,0,123,343,100,326,101,0,123,9,16,8,13,0,123,1038,180,690,145,658,145,0,123,21,20,0,123,11,17,348,99,343,100,0,123,5,8,0,123,0,123,4021,207,2889,228,2530,220,79,47,280,128,0,123,0,123,1132,153,1022,145,22,18,81,56,7,13,0,123
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",15785,248,311,106,107,62,62,41,42,48,3,7,0,123,0,123,204,82,126,61,8,13,36,35,0,123,34,31,1843,285,850,197,816,192,0,123,34,32,0,123,0,123,993,180,889,186,12,19,69,40,0,123,23,27,2719,312,1779,290,1469,229,92,82,189,171,12,19,17,28,940,159,848,147,30,31,62,39,0,123,0,123,10912,464,7743,361,6914,384,188,66,501,142,111,62,29,45,3169,302,2878,277,14,16,232,84,45,49,0,123
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",28171,420,2960,473,1122,274,612,207,106,53,368,158,36,33,0,123,1838,387,1155,370,81,63,569,165,22,27,11,18,8856,591,5528,488,4631,453,239,102,566,162,77,67,15,24,3328,410,2922,392,82,62,289,94,35,40,0,123,7147,494,5238,438,4334,414,315,127,512,169,16,19,61,62,1909,242,1671,224,1,123,211,97,12,19,14,22,9208,559,7381,524,5896,499,404,175,845,213,176,81,60,73,1827,258,1560,226,23,25,197,89,33,32,14,22
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",2540,108,108,65,48,39,48,39,0,123,0,123,0,123,0,123,60,40,52,38,0,123,8,14,0,123,0,123,440,92,296,84,286,80,10,15,0,123,0,123,0,123,144,56,136,55,0,123,8,13,0,123,0,123,590,123,431,110,416,108,0,123,15,24,0,123,0,123,159,53,142,52,0,123,17,19,0,123,0,123,1402,158,992,129,907,135,47,37,38,34,0,123,0,123,410,135,387,131,0,123,14,21,0,123,9,14
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",85412,943,11811,1026,7802,914,1145,307,5452,735,1102,347,103,70,0,123,4009,540,1589,283,935,316,1293,276,192,151,0,123,19819,1408,13107,1101,6065,616,4349,678,2497,425,109,87,87,76,6712,877,4598,820,996,266,1038,229,32,31,48,36,17416,983,13273,856,7822,556,2556,483,2374,455,407,156,114,61,4143,459,3115,398,394,148,475,167,144,70,15,22,36366,1324,28718,1179,19120,920,2297,450,4808,488,2230,443,263,118,7648,539,5094,416,421,186,1352,278,665,198,116,70
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",35511,498,4189,575,1678,332,834,182,548,258,270,100,26,39,0,123,2511,370,1620,294,502,182,337,109,52,56,0,123,11263,622,7376,542,5443,447,1073,287,732,229,100,80,28,27,3887,317,3354,305,176,86,309,111,26,40,22,34,9935,545,7562,480,5915,490,1025,328,489,178,94,61,39,36,2373,256,2088,239,144,88,90,64,46,45,5,9,10124,541,7959,557,6843,505,402,138,447,130,188,95,79,51,2165,283,1918,273,69,51,134,90,38,36,6,10
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",24444,436,1727,220,406,131,222,93,17,24,129,71,38,42,0,123,1321,208,730,167,33,38,509,164,39,35,10,17,5942,649,2874,359,2218,284,115,67,432,186,99,79,10,15,3068,558,2654,397,92,99,266,135,21,23,35,28,4890,373,3069,355,2580,340,183,77,234,101,72,62,0,123,1821,252,1559,227,17,25,150,69,41,38,54,48,11885,542,9041,549,7371,512,306,107,998,209,315,119,51,47,2844,327,2355,263,32,30,368,144,89,56,0,123
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",6240,172,37,36,0,123,0,123,0,123,0,123,0,123,0,123,37,36,37,36,0,123,0,123,0,123,0,123,447,150,305,128,220,97,45,49,19,25,11,18,10,17,142,67,142,67,0,123,0,123,0,123,0,123,681,126,367,87,349,88,0,123,18,20,0,123,0,123,314,90,272,82,24,25,18,20,0,123,0,123,5075,227,3593,226,3323,204,46,45,154,69,48,42,22,24,1482,188,1382,184,0,123,88,50,3,7,9,14
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",17306,262,585,196,204,95,130,54,10,16,64,76,0,123,0,123,381,168,261,102,7,11,87,141,26,34,0,123,1493,270,769,204,551,160,86,96,75,60,57,66,0,123,724,165,627,141,0,123,88,65,9,15,0,123,2514,289,1410,237,1137,239,124,77,139,69,10,16,0,123,1104,172,1012,152,9,15,83,56,0,123,0,123,12714,463,8639,429,7456,459,186,111,757,190,168,98,72,53,4075,337,3608,350,83,73,300,111,34,32,50,49
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",11363,214,353,98,100,53,61,43,12,17,27,25,0,123,0,123,253,79,167,58,6,10,70,52,0,123,10,16,1038,217,689,204,550,177,17,18,108,86,14,22,0,123,349,94,308,89,12,19,22,23,0,123,7,11,1885,227,1252,194,1015,156,102,78,135,83,0,123,0,123,633,143,535,135,28,44,64,45,6,11,0,123,8087,287,5781,281,5097,296,119,57,334,111,231,108,0,123,2306,233,2127,225,20,21,94,47,65,54,0,123
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",12154,240,539,195,214,173,135,146,0,123,70,86,9,14,0,123,325,121,196,91,0,123,81,55,48,72,0,123,1699,278,750,200,653,184,12,20,68,50,17,27,0,123,949,190,849,179,0,123,69,35,18,24,13,21,2385,263,1421,204,1242,198,34,33,71,49,59,55,15,23,964,170,809,162,45,35,67,46,43,39,0,123,7531,410,5698,347,4911,361,115,74,423,176,226,113,23,27,1833,248,1665,236,11,17,105,56,43,36,9,14
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",13899,271,1055,263,297,139,158,98,54,63,71,52,14,23,0,123,758,189,392,124,43,62,323,171,0,123,0,123,3752,344,2078,295,1695,302,15,23,353,149,15,24,0,123,1674,206,1463,225,47,42,152,79,12,24,0,123,3832,403,2967,387,2663,358,73,46,154,73,77,85,0,123,865,183,695,175,30,28,140,84,0,123,0,123,5260,531,4537,496,4009,435,39,37,489,209,0,123,0,123,723,167,685,161,0,123,38,30,0,123,0,123
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",15058,451,1804,304,715,209,613,187,14,22,88,92,0,123,0,123,1089,191,884,174,81,72,104,64,0,123,20,21,3545,344,2293,302,2150,302,44,47,99,91,0,123,0,123,1252,192,1188,199,17,27,47,39,0,123,0,123,3914,445,2932,415,2664,404,63,61,136,82,0,123,69,64,982,198,895,181,0,123,65,54,0,123,22,27,5795,524,4244,449,3844,431,152,89,163,86,36,56,49,39,1551,235,1417,216,32,34,84,81,18,31,0,123
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",42870,707,5345,500,2186,336,1395,280,355,205,329,106,107,71,0,123,3159,385,1938,293,389,182,777,188,45,47,10,16,16724,749,11235,536,9460,584,647,232,901,215,149,119,78,70,5489,467,4788,433,63,44,612,150,26,28,0,123,11687,763,9122,633,8033,611,432,160,581,160,76,94,0,123,2565,373,2197,328,88,79,271,88,9,17,0,123,9114,587,7470,532,6600,539,220,85,501,140,127,72,22,19,1644,237,1441,202,15,20,142,82,46,60,0,123
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",6039,161,251,93,140,75,94,63,0,123,46,43,0,123,0,123,111,57,67,41,0,123,44,44,0,123,0,123,1258,202,873,174,848,169,16,27,9,14,0,123,0,123,385,94,372,89,0,123,13,22,0,123,0,123,1634,227,1250,218,1160,222,17,28,73,53,0,123,0,123,384,138,335,126,17,27,32,36,0,123,0,123,2896,301,2473,276,2288,280,0,123,145,76,40,69,0,123,423,137,423,137,0,123,0,123,0,123,0,123
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",6929,165,289,118,103,60,86,55,0,123,11,18,0,123,6,10,186,98,155,91,0,123,31,30,0,123,0,123,1252,183,795,157,758,151,23,28,14,15,0,123,0,123,457,102,423,98,0,123,34,39,0,123,0,123,1773,222,1393,208,1323,208,16,18,45,32,9,14,0,123,380,113,345,105,8,13,27,33,0,123,0,123,3615,314,2764,286,2572,278,62,48,124,60,0,123,6,10,851,182,833,176,18,20,0,123,0,123,0,123
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",3742,116,247,161,129,153,129,153,0,123,0,123,0,123,0,123,118,56,94,52,0,123,24,26,0,123,0,123,968,204,544,145,490,140,0,123,21,25,33,32,0,123,424,133,345,112,0,123,79,65,0,123,0,123,1017,194,741,166,704,169,0,123,21,24,16,25,0,123,276,89,238,89,9,14,10,17,19,29,0,123,1510,242,1171,205,1109,214,10,16,52,49,0,123,0,123,339,123,298,118,15,24,26,29,0,123,0,123
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",34568,663,6004,540,2725,404,1045,192,1186,307,172,88,285,188,37,53,3279,357,1765,276,687,201,667,178,160,103,0,123,13166,750,8670,603,6058,568,1729,386,366,142,231,150,286,128,4496,476,3493,405,441,175,503,174,40,43,19,23,9192,604,7193,558,5044,431,1413,269,331,107,90,75,315,155,1999,248,1471,229,246,109,158,72,36,34,88,62,6206,597,4936,516,3396,463,429,158,580,210,369,163,162,99,1270,228,922,210,15,24,162,105,78,52,93,75
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",7482,326,679,201,205,106,133,79,45,71,27,30,0,123,0,123,474,137,291,107,39,62,120,82,24,44,0,123,2754,364,1963,285,1847,296,38,59,78,66,0,123,0,123,791,171,768,166,0,123,23,21,0,123,0,123,2157,276,1573,242,1432,219,59,66,73,79,0,123,9,16,584,151,529,140,0,123,10,15,45,49,0,123,1892,324,1467,270,1056,240,50,43,227,108,124,93,10,17,425,141,305,116,0,123,94,80,26,29,0,123
