GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",2633,129,57,34,26,23,26,23,0,12,0,12,0,12,0,12,31,27,26,26,0,12,5,8,0,12,0,12,520,117,415,103,400,103,0,12,15,19,0,12,0,12,105,49,105,49,0,12,0,12,0,12,0,12,698,151,469,132,450,128,0,12,19,22,0,12,0,12,229,76,229,76,0,12,0,12,0,12,0,12,1358,163,955,145,881,151,44,49,20,20,10,16,0,12,403,102,373,99,0,12,0,12,30,41,0,12
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",87981,1039,9704,897,6057,730,1005,236,4395,644,538,204,95,66,24,32,3647,448,1430,296,1366,278,781,255,60,70,10,13,18454,1172,12335,908,5747,513,4449,734,1873,390,141,86,125,88,6119,578,4124,483,775,204,1028,253,91,74,101,87,18427,973,13876,827,7419,655,3944,483,2275,385,140,71,98,74,4551,460,3017,353,632,185,726,203,113,71,63,41,41396,1251,33360,1128,22822,915,2608,382,5505,616,2161,390,264,119,8036,531,5257,444,476,161,1568,295,707,189,28,30
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",38533,506,3478,392,1316,213,762,168,267,99,219,91,46,47,22,25,2162,289,1207,217,409,142,537,174,9,17,0,28,12786,618,7845,533,6292,489,823,210,592,167,131,155,7,12,4941,334,4205,317,387,119,288,122,54,59,7,11,10201,624,7315,597,5979,527,732,200,416,132,140,110,48,48,2886,313,2486,292,214,90,141,63,31,37,14,22,12068,712,9525,622,7830,590,673,164,686,212,287,135,49,53,2543,315,2178,276,138,66,158,90,60,44,9,15
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",24607,411,1408,220,385,110,182,81,72,67,131,54,0,25,0,25,1023,206,596,132,108,85,312,113,7,11,0,25,4990,468,2401,298,1983,289,115,68,260,108,16,22,27,48,2589,279,2222,273,91,52,260,106,16,37,0,25,5579,489,3916,427,3340,414,238,99,225,91,63,49,50,49,1663,245,1410,227,39,30,135,51,34,51,45,43,12630,572,9819,480,8200,473,403,149,800,171,368,118,48,48,2811,361,2434,323,74,66,230,106,34,27,39,59
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",6460,200,106,64,36,35,25,30,0,19,0,19,11,17,0,19,70,56,46,49,0,19,24,27,0,19,0,19,380,97,261,88,201,65,5,7,11,17,44,61,0,19,119,53,91,40,0,19,28,27,0,19,0,19,605,137,329,91,293,81,13,20,23,25,0,19,0,19,276,83,265,81,0,19,11,16,0,19,0,19,5369,232,3925,253,3440,245,186,108,115,57,140,68,44,46,1444,180,1255,169,73,61,87,44,20,23,9,14
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",18034,318,202,82,72,54,65,53,0,22,7,10,0,22,0,22,130,80,81,50,0,22,49,58,0,22,0,22,1908,258,1021,204,876,192,56,55,80,50,9,15,0,22,887,137,751,124,27,28,91,64,18,21,0,22,2111,277,1215,238,1017,203,71,85,28,29,97,74,2,5,896,169,845,168,4,8,40,35,7,11,0,22,13813,430,9657,501,8210,482,243,112,743,234,329,146,132,75,4156,353,3737,342,86,44,179,73,124,79,30,26
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",11857,247,233,82,72,45,29,22,0,19,39,42,4,7,0,19,161,65,93,52,6,13,62,45,0,19,0,19,724,132,245,87,194,66,4,9,40,50,7,11,0,19,479,106,367,106,0,19,51,39,53,39,8,13,1744,214,1123,177,975,173,47,42,69,40,7,11,25,27,621,130,543,125,22,20,39,38,17,27,0,19,9156,283,6619,293,5770,326,56,32,379,97,392,146,22,24,2537,235,2127,219,9,14,183,67,207,98,11,17
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",12782,266,358,121,82,54,72,52,0,19,0,19,0,19,10,14,276,107,233,103,8,16,7,12,28,27,0,19,1235,239,652,184,587,171,6,12,19,23,40,52,0,19,583,146,507,138,13,19,59,41,4,9,0,19,2336,343,1401,251,1219,237,11,17,100,65,71,67,0,19,935,198,854,171,0,19,11,17,70,76,0,19,8853,426,6331,404,5252,390,93,57,521,192,391,136,74,86,2522,311,2211,308,32,35,184,78,79,40,16,26
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",14926,331,1033,249,227,134,184,114,0,22,12,18,31,50,0,22,806,205,330,115,23,30,453,185,0,22,0,22,4159,500,2305,375,1740,325,37,41,483,193,13,22,32,49,1854,284,1591,272,0,22,235,108,14,21,14,22,3973,547,3298,507,2509,435,88,80,668,273,0,22,33,40,675,195,609,185,0,22,53,39,0,22,13,21,5761,482,4586,397,4065,388,82,62,397,157,42,47,0,22,1175,257,956,234,73,60,110,87,36,43,0,22
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",16246,325,1343,246,464,147,450,143,0,22,14,24,0,22,0,22,879,196,757,190,64,42,45,36,0,22,13,22,4919,563,2821,415,2630,397,79,53,34,34,10,19,68,75,2098,322,2014,311,66,62,18,21,0,22,0,22,4532,465,3284,436,2999,443,67,47,161,94,9,15,48,64,1248,213,1125,212,16,24,42,32,13,20,52,67,5452,492,3826,421,3254,434,159,117,168,86,228,170,17,27,1626,271,1377,265,38,33,122,65,47,55,42,66
