GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
0400000US45,45,South Carolina,3210007,1036,463330,5757,177149,3539,138199,2804,33272,1396,1805,354,3400,508,473,197,286181,4181,266529,3850,14083,910,2891,395,2368,340,310,133,955658,6119,543500,5094,509394,4551,24169,1410,4623,578,4563,628,751,242,412158,4477,396916,4327,8824,679,3892,506,1926,347,600,181,961479,6265,650870,5278,619152,5034,18333,1130,7559,695,4826,585,1000,288,310609,4134,297314,4050,6660,587,4109,437,1831,329,695,204,829540,8001,596657,6919,555457,6462,15166,960,15377,1117,8564,635,2093,384,232883,3243,217982,3171,4664,597,6268,606,3147,424,822,255
0400000US46,46,South Dakota,551039,643,49913,1377,22354,1010,17082,847,2649,358,516,108,970,211,1137,300,27559,950,23272,880,849,199,1334,296,464,150,1640,215,172522,2190,109155,1998,103816,2007,1939,299,1305,267,541,153,1554,276,63367,1398,60245,1312,707,204,1061,215,188,78,1166,168,179803,2039,133230,1569,127167,1463,1566,317,1431,194,561,153,2505,275,46573,1155,43605,1149,629,173,813,161,173,76,1353,236,148801,2130,116171,1955,110276,1994,1433,213,1999,304,1318,241,1145,197,32630,1079,30589,1059,403,162,857,248,303,92,478,151
0400000US47,47,Tennessee,4380036,1176,636138,6351,228315,3929,174545,2951,43725,1802,2912,417,4083,499,3050,594,407823,4215,382014,4103,16805,936,3654,430,3570,469,1780,317,1445466,7910,827202,6486,780946,6130,29812,1539,5803,544,6157,714,4484,659,618264,4728,598818,4563,9998,694,4438,419,3086,437,1924,403,1206156,6447,821405,5248,783540,5384,19011,1080,8405,642,5824,585,4625,604,384751,3797,369809,3583,6600,622,4042,313,2857,396,1443,275,1092276,8249,824673,7313,765894,7123,15796,948,20157,1014,16145,943,6681,730,267603,3516,249083,3232,4286,414,6728,580,5377,580,2129,331
0400000US48,48,Texas,16765143,2257,3027897,16787,1563534,11458,373436,5147,1127448,10194,14649,968,41908,1749,6093,662,1464363,9150,571383,5107,828399,6733,23054,1119,34838,1585,6689,798,4220317,17597,2593088,13165,1646872,11554,853307,7464,29957,1681,49697,2035,13255,1088,1627229,9529,1194784,8334,369271,4052,26467,1410,29336,1346,7371,835,4893713,15146,3438062,12438,2536430,11025,757019,6308,53210,1884,65313,1936,26090,1520,1455651,7421,1147745,6264,241405,3522,28468,1412,28812,1190,9221,804,4623216,27902,3551818,24195,2665719,19422,470262,7317,169104,3908,199688,3688,47045,2062,1071398,7281,835654,6403,111908,2227,53223,2041,59013,2014,11600,840
0400000US49,49,Utah,1674198,617,146833,3018,86831,2310,41010,1618,40707,1615,916,294,3378,431,820,181,60002,1615,38719,1293,15595,849,1354,301,2444,362,1890,217,388126,4786,245508,3354,204999,2780,28754,1541,3632,516,5978,579,2145,297,142618,2646,126087,2432,9979,607,2233,260,2844,433,1475,184,618202,4500,422057,4079,378604,3981,28102,1205,6730,506,6005,521,2616,330,196145,2459,182184,2279,6869,570,3322,384,2361,349,1409,261,521037,5355,385928,4285,337159,3655,21421,966,13708,707,11910,661,1730,318,135109,2170,120518,1912,5643,589,4860,461,3514,432,574,157
0400000US50,50,Vermont,436657,301,35785,1020,13816,655,12176,604,357,113,735,187,450,128,98,46,21969,783,19989,790,101,59,1555,202,244,99,80,52,131270,1685,83416,1218,80653,1203,375,136,1924,253,337,124,127,79,47854,1165,45934,1171,118,47,1493,163,176,72,133,91,112584,1514,79287,1279,75872,1275,749,166,2016,275,467,154,183,89,33297,941,31489,907,279,87,1150,187,147,70,232,111,157018,1663,118956,1556,111667,1506,1560,239,4308,385,1032,207,389,132,38062,942,35625,944,472,131,1557,245,288,100,120,51
0400000US51,51,Virginia,5566373,1836,648934,7247,282194,4765,177379,3141,79471,2650,8395,794,12420,780,4529,673,366740,4249,315816,3912,25001,1321,9868,744,12352,814,3703,527,1381751,8350,840733,7065,718767,5833,69313,2432,18032,1221,21702,1120,12919,1006,541018,4225,496489,4034,17161,1001,11228,837,12320,873,3820,492,1513471,8182,1070077,6783,933947,5830,61272,1833,28009,1292,29017,1237,17832,1332,443394,4515,399666,4265,15388,896,12286,831,11410,778,4644,462,2022217,12442,1578154,11414,1295499,10007,68004,2236,94723,2321,93177,1995,26751,1398,444063,4123,372521,3858,12443,719,25343,1249,27036,1094,6720,588
0400000US53,53,Washington,4721438,800,451591,5213,227354,3449,97332,2349,98003,2156,5894,600,22108,1076,4017,476,224237,3332,145966,2666,39443,1490,10641,900,24434,1021,3753,522,1097839,9077,638629,6984,520237,5408,57777,2375,19995,1129,33771,1764,6849,718,459210,4766,405696,4272,17922,1042,13268,955,19292,1037,3032,494,1619878,7293,1075641,6215,933353,5893,51384,1939,32786,1339,46828,1610,11290,843,544237,4466,490366,4229,15120,839,16552,901,18719,1098,3480,487,1552130,10196,1140679,8442,944510,7960,36247,1317,63662,1963,85757,2204,10503,846,411451,4328,348799,4143,8993,749,20581,1091,30333,1114,2745,353
0400000US54,54,West Virginia,1298118,797,195354,3096,49536,1426,47807,1389,994,230,225,103,431,149,79,68,145818,2591,143278,2588,1318,317,625,158,436,146,161,81,528555,3724,265946,2663,262982,2712,1578,271,648,193,625,171,113,96,262609,2849,259785,2859,1295,197,1084,154,308,130,137,54,325536,3218,202130,2758,197861,2750,2062,308,1196,257,708,181,303,145,123406,2150,120233,2178,1287,194,1145,354,474,144,267,104,248673,3580,183922,3216,175255,3136,2084,335,3742,431,2249,309,592,191,64751,1465,61347,1451,882,212,1357,244,883,203,282,115
0400000US55,55,Wisconsin,3873119,804,347428,3497,147893,2384,99285,1903,36974,1287,4480,306,6085,646,1069,229,199535,2489,165668,2292,18141,1103,9098,499,5673,484,955,177,1239523,6694,738415,5724,690355,5352,30734,1382,7454,565,8379,553,1493,284,501108,3813,478843,3799,10070,705,8377,523,2684,360,1134,230,1208472,5641,885336,5399,839173,5331,23922,827,10279,729,9423,523,2539,326,323136,2973,306390,2945,7296,473,5912,448,2261,310,1277,243,1077696,6775,830632,6069,768129,5495,18893,1169,23252,1015,16928,815,3430,437,247064,2409,228907,2399,3593,380,7991,543,5150,494,1423,306
0400000US56,56,Wyoming,384272,631,29566,1381,15069,967,11159,791,3621,493,85,58,108,67,96,61,14497,774,11785,699,2263,332,188,75,112,50,149,66,112872,2167,72806,1941,68036,1868,3813,432,365,132,372,181,220,74,40066,1226,37656,1248,1666,288,301,94,255,110,188,44,143034,2312,102295,2138,97420,2016,3147,437,747,246,511,134,470,113,40739,1215,38768,1181,1151,237,421,126,136,66,263,62,98800,2134,73942,1868,69666,1826,2154,353,1155,236,758,213,209,92,24858,972,23691,958,441,122,407,139,224,98,95,52
0400000US72,72,Puerto Rico,2414831,156,650897,5212,130639,2456,7625,521,122656,2437,29,49,305,204,24,37,520258,4493,35879,1368,483916,4586,206,92,161,114,96,89,653759,5544,282516,3940,13243,860,268799,3859,119,57,285,160,70,55,371243,4008,25552,999,345369,4067,96,49,177,114,49,42,526603,3921,312474,2954,15493,770,296491,3033,207,90,257,125,26,28,214129,3008,13542,726,200361,2931,168,87,38,38,20,32,583572,4815,409541,3997,20699,1040,387501,4051,1131,173,117,88,93,57,174031,3043,12024,590,161208,3018,634,136,98,81,67,62
